"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.02.2024","2.369,5","2.336,0","2.418,0","2.336,0","372,08K","1,46%"
"21.02.2024","2.335,5","2.359,0","2.399,5","2.307,5","475,78K","-0,98%"
"20.02.2024","2.358,5","2.440,5","2.485,5","2.335,0","567,24K","-3,28%"
"19.02.2024","2.438,5","2.491,0","2.491,5","2.423,0","258,66K","-2,13%"
"16.02.2024","2.491,5","2.505,0","2.529,5","2.482,0","294,55K","-0,10%"
"15.02.2024","2.494,0","2.494,5","2.514,0","2.467,0","224,01K","0,46%"
"14.02.2024","2.482,5","2.513,0","2.538,0","2.475,0","292,04K","-1,08%"
"13.02.2024","2.509,5","2.465,0","2.522,0","2.453,0","491,53K","2,43%"
"12.02.2024","2.450,0","2.440,0","2.474,5","2.410,0","397,39K","0,66%"
"09.02.2024","2.434,0","2.403,5","2.449,0","2.374,0","568,96K","1,25%"
"08.02.2024","2.404,0","2.463,0","2.489,0","2.388,5","697,78K","-2,36%"
"07.02.2024","2.462,0","2.362,5","2.462,0","2.355,5","643,82K","4,52%"
"06.02.2024","2.355,5","2.358,5","2.364,5","2.337,0","148,39K","0,15%"
"05.02.2024","2.352,0","2.391,0","2.395,0","2.334,5","408,62K","-1,63%"
"02.02.2024","2.391,0","2.405,5","2.413,5","2.365,0","331,14K","-0,60%"
"01.02.2024","2.405,5","2.386,5","2.428,0","2.375,0","391,02K","1,11%"
"31.01.2024","2.379,0","2.407,0","2.443,5","2.358,5","654,41K","-0,98%"
"30.01.2024","2.402,5","2.296,0","2.404,0","2.289,5","768,29K","4,66%"
"29.01.2024","2.295,5","2.265,0","2.300,0","2.261,0","231,54K","1,57%"
"26.01.2024","2.260,0","2.270,5","2.277,0","2.240,0","247,85K","-0,53%"
"25.01.2024","2.272,0","2.324,5","2.325,0","2.251,5","337,78K","-1,98%"
"24.01.2024","2.318,0","2.301,0","2.330,0","2.287,0","425,48K","0,96%"
"23.01.2024","2.296,0","2.320,0","2.324,5","2.277,5","333,22K","-0,54%"
"22.01.2024","2.308,5","2.249,0","2.319,0","2.217,5","512,22K","4,50%"
"19.01.2024","2.209,0","2.227,0","2.234,0","2.186,0","282,72K","-1,12%"
"18.01.2024","2.234,0","2.255,0","2.289,0","2.213,5","265,42K","-1,00%"
"17.01.2024","2.256,5","2.267,5","2.295,0","2.245,5","191,25K","-0,49%"
"16.01.2024","2.267,5","2.326,0","2.330,0","2.261,0","252,30K","-2,52%"
"15.01.2024","2.326,0","2.312,0","2.336,0","2.293,0","218,12K","0,85%"
"12.01.2024","2.306,5","2.325,0","2.377,0","2.290,0","403,22K","-0,43%"
"11.01.2024","2.316,5","2.230,0","2.342,5","2.225,0","536,84K","3,88%"
"10.01.2024","2.230,0","2.234,0","2.250,0","2.217,5","175,81K","-0,25%"
"09.01.2024","2.235,5","2.257,0","2.258,5","2.195,5","309,88K","-1,04%"
"08.01.2024","2.259,0","2.201,5","2.260,0","2.201,5","262,15K","2,54%"
"05.01.2024","2.203,0","2.214,0","2.217,5","2.184,0","119,88K","-0,23%"
"04.01.2024","2.208,0","2.220,0","2.225,0","2.202,5","121,83K","-0,65%"
"03.01.2024","2.222,5","2.212,5","2.238,0","2.205,0","243,55K","0,84%"
"29.12.2023","2.204,0","2.123,5","2.210,5","2.081,5","960,95K","4,60%"
"28.12.2023","2.107,0","2.090,0","2.150,0","2.060,0","808,78K","1,27%"
"27.12.2023","2.080,5","2.021,5","2.097,0","2.020,5","830,71K","3,02%"
"26.12.2023","2.019,5","2.031,5","2.033,5","1.999,5","277,91K","-0,17%"
"25.12.2023","2.023,0","1.999,5","2.036,5","1.986,5","476,35K","1,40%"
"22.12.2023","1.995,0","1.994,0","2.026,0","1.979,0","227,00K","0,05%"
"21.12.2023","1.994,0","2.020,0","2.023,5","1.965,0","379,74K","-1,26%"
"20.12.2023","2.019,5","2.021,0","2.034,5","2.010,0","281,46K","-0,05%"
"19.12.2023","2.020,5","2.040,0","2.045,0","2.004,0","286,17K","-0,96%"
"18.12.2023","2.040,0","1.972,5","2.059,5","1.960,0","724,21K","4,40%"
"15.12.2023","1.954,0","1.892,0","1.969,5","1.845,5","504,80K","3,28%"
"14.12.2023","1.892,0","1.930,0","1.947,5","1.888,0","148,13K","-1,79%"
"13.12.2023","1.926,5","1.910,0","1.940,0","1.880,5","325,41K","0,39%"
"12.12.2023","1.919,0","1.907,5","1.975,0","1.883,5","382,73K","1,00%"
"11.12.2023","1.900,0","2.005,0","2.005,0","1.882,0","385,79K","-5,14%"
"08.12.2023","2.003,0","2.015,0","2.039,5","1.986,5","131,43K","-0,47%"
"07.12.2023","2.012,5","2.007,5","2.035,0","1.971,0","315,38K","0,22%"
"06.12.2023","2.008,0","2.070,5","2.090,0","2.002,0","226,58K","-2,76%"
"05.12.2023","2.065,0","2.031,5","2.075,5","2.028,5","184,42K","1,65%"
"04.12.2023","2.031,5","2.060,0","2.078,5","2.002,5","307,61K","-2,05%"
"01.12.2023","2.074,0","2.115,0","2.139,0","2.066,0","171,63K","-2,29%"
"30.11.2023","2.122,5","2.150,0","2.154,0","2.110,5","200,53K","-1,26%"
"29.11.2023","2.149,5","2.158,5","2.193,0","2.135,0","177,41K","-0,07%"
"28.11.2023","2.151,0","2.145,0","2.165,0","2.117,0","145,01K","0,49%"
"27.11.2023","2.140,5","2.183,0","2.194,0","2.122,0","212,79K","-1,77%"
"24.11.2023","2.179,0","2.188,5","2.199,5","2.159,0","120,00K","-0,05%"
"23.11.2023","2.180,0","2.203,0","2.221,5","2.171,0","218,98K","-1,09%"
"22.11.2023","2.204,0","2.181,5","2.225,0","2.175,5","241,55K","0,82%"
"21.11.2023","2.186,0","2.227,0","2.227,0","2.168,0","366,90K","-1,69%"
"20.11.2023","2.223,5","2.204,5","2.229,0","2.195,5","207,54K","0,86%"
"17.11.2023","2.204,5","2.196,5","2.208,5","2.172,0","237,93K","0,30%"
"16.11.2023","2.198,0","2.240,5","2.240,5","2.187,5","220,31K","-1,66%"
"15.11.2023","2.235,0","2.235,0","2.255,5","2.218,0","182,29K","-0,09%"
"14.11.2023","2.237,0","2.294,5","2.294,5","2.215,0","291,32K","-2,51%"
"13.11.2023","2.294,5","2.297,5","2.307,5","2.282,0","155,36K","0,31%"
"10.11.2023","2.287,5","2.310,0","2.316,5","2.270,5","131,62K","-0,97%"
